timestamp_ns,mtm_value
1700000000001000000,50000.000000
1700000001001000000,50002.881730
1700000002001000000,50003.141609
1700000003001000000,50004.567659
1700000004001000000,50004.862480
1700000005001000000,50008.079730
1700000006001000000,50024.459376
1700000007001000000,50024.459376
1700000008001000000,50141.280270
1700000009001000000,50141.280270
1700000010001000000,50141.280270
1700000011001000000,50141.280270
1700000012001000000,50141.280270
1700000013001000000,50141.280270
1700000014001000000,50141.280270
1700000015001000000,50141.280270
1700000016001000000,50141.280270
1700000017001000000,50141.280270
1700000018001000000,50141.280270
1700000019001000000,50141.280270
1700000020001000000,50141.280270
1700000021001000000,50141.280270
1700000022001000000,50141.280270
1700000023001000000,50141.280270
1700000024001000000,50141.280270
1700000025001000000,50141.280270
1700000026001000000,50141.280270
1700000027001000000,50155.414338
1700000028001000000,50196.759631
1700000029001000000,50196.759631
1700000030001000000,50264.061900
1700000031001000000,50281.139400
1700000032001000000,50282.525609
1700000033001000000,50282.525609
1700000034001000000,50282.525609
1700000035001000000,50282.525609
1700000036001000000,50282.525609
1700000037001000000,50282.525609
1700000038001000000,50282.525609
1700000039001000000,50282.525609
1700000040001000000,50282.525609
1700000041001000000,50282.525609
1700000042001000000,50282.525609
1700000043001000000,50282.525609
1700000044001000000,50282.525609
1700000045001000000,50282.525609
1700000046001000000,50282.525609
1700000047001000000,50282.525609
1700000048001000000,50297.955123
1700000049001000000,50337.223480
1700000050001000000,50337.223480
1700000051001000000,50404.583344
1700000052001000000,50413.020344
1700000053001000000,50413.020344
1700000054001000000,50413.020344
1700000055001000000,50413.020344
1700000056001000000,50413.020344
1700000057001000000,50413.020344
1700000058001000000,50413.020344
1700000059001000000,50413.020344
1700000060001000000,50413.020344
1700000061001000000,50413.020344
1700000062001000000,50413.020344
1700000063001000000,50413.020344
1700000064001000000,50413.020344
1700000065001000000,50413.020344
1700000066001000000,50413.020344
1700000067001000000,50413.020344
1700000068001000000,50413.020344
1700000069001000000,50413.020344
1700000070001000000,50413.020344
1700000071001000000,50413.020344
1700000072001000000,50413.020344
1700000073001000000,50413.020344
1700000074001000000,50413.020344
1700000075001000000,50413.020344
1700000076001000000,50413.020344
1700000077001000000,50413.020344
1700000078001000000,50413.020344
1700000079001000000,50413.020344
1700000080001000000,50413.020344
1700000081001000000,50413.020344
1700000082001000000,50413.020344
1700000083001000000,50413.020344
1700000084001000000,50413.020344
1700000085001000000,50413.020344
1700000086001000000,50413.020344
1700000087001000000,50413.020344
1700000088001000000,50427.312344
1700000089001000000,50427.312344
1700000090001000000,50427.312344
1700000091001000000,50427.312344
1700000092001000000,50427.360344
1700000093001000000,50427.360344
1700000094001000000,50427.360344
1700000095001000000,50427.360344
1700000096001000000,50427.360344
1700000097001000000,50459.015344
1700000098001000000,50495.444344
1700000099001000000,50578.354344
1700000100001000000,50578.354344
1700000101001000000,50578.354344
1700000102001000000,50578.354344
1700000103001000000,50578.405344
1700000104001000000,50578.405344
1700000105001000000,50578.405344
1700000106001000000,50578.405344
1700000107001000000,50578.405344
1700000108001000000,50578.405344
1700000109001000000,50578.405344
1700000110001000000,50578.405344
1700000111001000000,50578.405344
1700000112001000000,50578.405344
1700000113001000000,50578.405344
1700000114001000000,50622.171344
1700000115001000000,50698.809344
1700000116001000000,50707.341344
1700000117001000000,50707.341344
1700000118001000000,50707.341344
1700000119001000000,50707.341344
1700000120001000000,50707.341344
1700000121001000000,50725.507344
1700000122001000000,51123.277344
1700000123001000000,51148.946344
1700000124001000000,51181.776344
1700000125001000000,51212.548344
1700000126001000000,51459.115344
1700000127001000000,51744.790344
1700000128001000000,51746.691344
1700000129001000000,51746.691344
1700000130001000000,51979.682344
1700000131001000000,51979.682344
1700000132001000000,51979.682344
1700000133001000000,51979.682344
1700000134001000000,51979.731344
1700000135001000000,51979.731344
1700000136001000000,52020.340504
1700000137001000000,52020.340504
1700000138001000000,52167.633254
1700000139001000000,52188.480139
1700000140001000000,52380.922139
1700000141001000000,52380.922139
1700000142001000000,52440.846139
1700000143001000000,52440.846139
1700000144001000000,52440.846139
1700000145001000000,52440.846139
1700000146001000000,52440.895139
1700000147001000000,52440.895139
1700000148001000000,52440.895139
1700000149001000000,52440.895139
1700000150001000000,52440.895139
1700000151001000000,52440.895139
1700000152001000000,52440.895139
1700000153001000000,52595.037139
1700000154001000000,52654.173139
1700000155001000000,52670.344139
1700000156001000000,52903.365139
1700000157001000000,52903.365139
1700000158001000000,52903.365139
1700000159001000000,52903.365139
1700000160001000000,52903.365139
1700000161001000000,52903.365139
1700000162001000000,52903.365139
1700000163001000000,52903.365139
1700000164001000000,52983.123139
1700000165001000000,52983.123139
1700000166001000000,52983.123139
1700000167001000000,52983.123139
1700000168001000000,52983.123139
1700000169001000000,53208.816139
1700000170001000000,53239.314139
1700000171001000000,53240.637139
1700000172001000000,53251.463139
1700000173001000000,53275.718139
1700000174001000000,53275.718139
1700000175001000000,53275.718139
1700000176001000000,53275.718139
1700000177001000000,53275.718139
1700000178001000000,53275.718139
1700000179001000000,53275.718139
1700000180001000000,53275.718139
1700000181001000000,53428.127139
1700000182001000000,53617.010139
1700000183001000000,53636.290139
1700000184001000000,53641.101139
1700000185001000000,53641.101139
1700000186001000000,53656.754139
1700000187001000000,53656.754139
1700000188001000000,53664.800139
1700000189001000000,53664.800139
1700000190001000000,53664.800139
1700000191001000000,53676.420139
1700000192001000000,53676.420139
1700000193001000000,53773.150139
1700000194001000000,53777.918139
1700000195001000000,53791.204139
1700000196001000000,53815.353139
1700000197001000000,53820.862139
1700000198001000000,53825.526139
1700000199001000000,53850.655139
1700000200001000000,53895.921139
1700000201001000000,53912.180139
1700000202001000000,54090.685139
1700000203001000000,54090.685139
1700000204001000000,54090.685139
1700000205001000000,54090.685139
1700000206001000000,54090.685139
1700000207001000000,54090.685139
1700000208001000000,54090.685139
1700000209001000000,54090.685139
1700000210001000000,54090.685139
1700000211001000000,54090.685139
1700000212001000000,54090.685139
1700000213001000000,54090.685139
1700000214001000000,54090.685139
1700000215001000000,54090.685139
1700000216001000000,54090.685139
1700000217001000000,54090.685139
1700000218001000000,54090.685139
1700000219001000000,54090.685139
1700000220001000000,54090.685139
1700000221001000000,54090.685139
1700000222001000000,54090.685139
1700000223001000000,54090.685139
1700000224001000000,54090.685139
1700000225001000000,54090.685139
1700000226001000000,54090.685139
1700000227001000000,54090.685139
1700000228001000000,54090.685139
1700000229001000000,54090.685139
1700000230001000000,54090.685139
1700000231001000000,54090.685139
1700000232001000000,54107.431139
1700000233001000000,54108.015139
1700000234001000000,54108.015139
1700000235001000000,54108.015139
1700000236001000000,54108.015139
1700000237001000000,54108.015139
1700000238001000000,54155.842139
1700000239001000000,54155.842139
1700000240001000000,54155.842139
1700000241001000000,54176.542139
1700000242001000000,54248.058139
1700000243001000000,54248.058139
1700000244001000000,54268.487139
1700000245001000000,54268.487139
1700000246001000000,54268.487139
1700000247001000000,54268.487139
1700000248001000000,54268.487139
1700000249001000000,54268.487139
1700000250001000000,54268.487139
1700000251001000000,54268.487139
1700000252001000000,54268.487139
1700000253001000000,54268.487139
1700000254001000000,54268.477139
1700000255001000000,54286.773139
1700000256001000000,54376.529139
1700000257001000000,54376.529139
1700000258001000000,54376.529139
1700000259001000000,54376.529139
1700000260001000000,54376.529139
1700000261001000000,54376.529139
1700000262001000000,54376.529139
1700000263001000000,54376.529139
1700000264001000000,54376.529139
1700000265001000000,54376.529139
1700000266001000000,54376.529139
1700000267001000000,54376.529139
1700000268001000000,54377.491139
1700000269001000000,54378.803139
1700000270001000000,54383.936139
1700000271001000000,54391.441139
1700000272001000000,54546.867139
1700000273001000000,54546.867139
1700000274001000000,54546.867139
1700000275001000000,54546.867139
1700000276001000000,54546.867139
1700000277001000000,54551.720139
1700000278001000000,54551.720139
1700000279001000000,54551.720139
1700000280001000000,54556.414139
1700000281001000000,54556.414139
1700000282001000000,54556.414139
1700000283001000000,54556.414139
1700000284001000000,54556.414139
1700000285001000000,54556.414139
1700000286001000000,54556.414139
1700000287001000000,54556.414139
1700000288001000000,54556.414139
1700000289001000000,54556.414139
1700000290001000000,54556.414139
1700000291001000000,54556.414139
1700000292001000000,54556.414139
1700000293001000000,54556.414139
1700000294001000000,54556.414139
1700000295001000000,54556.414139
1700000296001000000,54556.414139
1700000297001000000,54556.414139
1700000298001000000,54571.885139
1700000299001000000,54583.140139
